zcta,year,month,day_of_month,hour_of_day,day_of_year,week_of_year,day_of_week,is_weekend,Call_counts
94102,2017,11,16,15,320,46,3,False,1.741408350321417
94102,2017,11,16,16,320,46,3,False,1.7904235540689701
94102,2017,11,16,17,320,46,3,False,1.8408183826460303
94102,2017,11,16,18,320,46,3,False,1.8926316681806852
94102,2017,11,16,19,320,46,3,False,1.9459033358040918
94102,2017,11,16,20,320,46,3,False,2.000674434415096
94102,2017,11,16,21,320,46,3,False,2.0569871683107825
94102,2017,11,16,22,320,46,3,False,2.1148849297073244
94102,2017,11,16,23,320,46,3,False,2.1744123321761943
94102,2017,11,17,0,321,46,4,False,1.1538206358398513
94102,2017,11,17,1,321,46,4,False,1.186297081438256
94102,2017,11,17,2,321,46,4,False,1.2196876375023127
94102,2017,11,17,3,321,46,4,False,1.2540180333853421
94102,2017,11,17,4,321,46,4,False,1.2893147226415658
94102,2017,11,17,5,321,46,4,False,1.3256049034100983
94102,2017,11,17,6,321,46,4,False,1.362916539372685
94102,2017,11,17,7,321,46,4,False,1.4012783813013354
94102,2017,11,17,8,321,46,4,False,1.4407199892124545
94102,2017,11,17,9,321,46,4,False,1.4812717551445442
94102,2017,11,17,10,321,46,4,False,1.5229649265770255
94102,2017,11,17,11,321,46,4,False,1.565831630508227
94102,2017,11,17,12,321,46,4,False,1.609904898211094
94102,2017,11,17,13,321,46,4,False,1.655218690685694
94102,2017,11,17,14,321,46,4,False,1.7018079248281297
94102,2017,11,17,15,321,46,4,False,1.7497085003360253
94102,2017,11,17,16,321,46,4,False,1.798957327371319
94102,2017,11,17,17,321,46,4,False,1.8495923550016757
94102,2017,11,17,18,321,46,4,False,1.9016526004424366
94102,2017,11,17,19,321,46,4,False,1.9551781791216394
94102,2017,11,17,20,321,46,4,False,2.010210335591274
94102,2017,11,17,21,321,46,4,False,2.0667914753085936
94102,2017,11,17,22,321,46,4,False,2.1249651973119703
94102,2017,11,17,23,321,46,4,False,2.184776327816473
94102,2017,11,18,0,322,46,5,True,1.1672220802231303
94102,2017,11,18,1,322,46,5,True,1.200075734605929
94102,2017,11,18,2,322,46,5,True,1.23385411670301
94102,2017,11,18,3,322,46,5,True,1.2685832547100675
94102,2017,11,18,4,322,46,5,True,1.304289909435176
94102,2017,11,18,5,322,46,5,True,1.3410015949195386
94102,2017,11,18,6,322,46,5,True,1.3787465996386459
94102,2017,11,18,7,322,46,5,True,1.4175540083001816
94102,2017,11,18,8,322,46,5,True,1.4574537242554713
94102,2017,11,18,9,322,46,5,True,1.4984764925417415
94102,2017,11,18,10,322,46,5,True,1.5406539235729502
94102,2017,11,18,11,322,46,5,True,1.5840185174974348
94102,2017,11,18,12,322,46,5,True,1.6286036892411577
94102,2017,11,18,13,322,46,5,True,1.6744437942558361
94102,2017,11,18,14,322,46,5,True,1.7215741549918042
94102,2017,11,18,15,322,46,5,True,1.7700310881160022
94102,2017,11,18,16,322,46,5,True,1.819851932496067
94102,2017,11,18,17,322,46,5,True,1.8710750779720884
94102,2017,11,18,18,322,46,5,True,1.9237399949382
94102,2017,11,18,19,322,46,5,True,1.9778872647567973
94102,2017,11,18,20,322,46,5,True,2.0335586110288255
94102,2017,11,18,21,322,46,5,True,2.0907969317442228
94102,2017,11,18,22,322,46,5,True,2.149646332337304
94102,2017,11,18,23,322,46,5,True,2.2101521596725444
94102,2017,11,19,0,323,46,6,True,1.172785461359109
94102,2017,11,19,1,323,46,6,True,1.2057957075371952
94102,2017,11,19,2,323,46,6,True,1.2397350889993042
94102,2017,11,19,3,323,46,6,True,1.2746297580004466
